text,file
Bu kadar laddish ve juvenile sadece genç erkeklerin komik bulması mümkün,1
istismarcı ve büyük ölçüde suçların katlanılabilir bir biçimde gösterilmesini sağlayan derinlik ya da karmaşıklıktan yoksundur,1
[garbus] patolojik çalışma potansiyelini ortadan kaldırır bunun yerine koşullu durumun çarpık melodramasını çıkarır,1
görsel olarak gösterişli ama anlatımsal olarak opak ve duygusal olarak vapid egzersiz tarzı ve mistifikasyon,1
Hikaye geldikleri kadar orijinal değil zaten saymaya değer olduğumdan daha fazla kez geri dönüştürülmüş,1
Film puanlarını verebilecek tek şey bravado - tamamen eski bir kavram almak ve izleyicinin et kıyma makinesine bir kez daha itmek,1
ekşi olarak çok fazla değil,1
maalesef hikaye ve aktörler bir hack betiği ile servis edilir,1
Seri cinayetlerdeki nispeten göze çarpmayan ittifakları için daha fazla rahatsız edici olsa da konuyu insancıllaştırma girişimlerine düşüyor,1
asla doğru olmayan bir duygusal karışıklık,1
performanslar genellikle ilgi çekici olsa da büyük ölçüde doğaçlama sayıların bu gevşek koleksiyonu muhtemelen bir saatlik bir televizyon belgeseli olarak daha iyi çalışacaktır,1
ilginç ama çekici değil,1
bir yerde bir kesim odası üzerinde yatıyor   hiçbir şey yapmayan çekimler sinir bozucu bir yanginlik yerine sivri ironik kültürel hiciv,1
adam ritchie'nin kilidini stoğunu iki sigara varilini ve kapağını kestiren oyuncu ilk oynadığı aracın temelinde bir ev ismi haline gelmesi olası değildir,1
üst üste gitmek cesaret ve filmler aptal olmak umurumda değil filmler arasında bir fark var,1
Burada hiçbir şey bunu analiz etmedikçe komik gözüküyor de niro'nun sağ eli goombahı olarak bile joe viterelli bile değil,1
"Bu ana senaryo John Pogue'un nezareti daha önce bize ""kafatasları"" ve geçen yılki ""rollerball"" u veren yale gradinden geliyor",1
Burada sağduyu mermi dolu bir şekilde pencereden uçar hiçbiri sascha'ya çarpmaz gibi görünmez,1
Bu 100 dakikalık film sadece 25 dakika iyi malzeme içeriyor,1
Yürütme o kadar yaya ki yapabildiğimiz en olumlu yorum rob schneider’ın aslında genç bir kız olarak oldukça ikna edici bir performansa dönüşmesi,1
kendi başına çok ilginç değil Bir remake olarak soluk bir taklit,1
bazı stüdyoların insanların küçük kız-kız eylemi olduğu sürece herhangi bir alışveriş ürününü düşünebilme yeteneğini yitirdiğini ve affedebileceğine inanmaktadır,1
Bir önermenin bir komedisinin parodisini bu film hakkındaki bilgimiz hakkında bir yorum olduğu kadar gerçekle karşılaştırılamaz,1
Tüm bu egzotikliğin tipik pax izleyicisine ses çıkaracağı kadar heyecan verdiğinden geri kalanımız komaya girecek,1
Parti sahneleri bazı tawdry vuruşlarını sunuyor filmin geri kalanı   dudsville,1
Bizim kültürümüz tüm gece tekila bükücüsünden sonra donmuş bir burritoyla tuvalete iniyor - ve bunu biliyorum çünkü 'jackass: filmi gördüm ',1
eleştiriler ahlaki olarak iflas eden karakterlerde kolay alaycı çekimlerden daha fazla yükselmez,1
Filmin ödünç aldığı bir yapı sevgi dolu iyi bütünleşmiş bir saygı ve daha ziyade ince kabataslak bir hikâye için bir bahane gibi daha az ürün hissi veriyor Öldürme zamanı işte burada olan her şey,1
"aptal çocuksu gereksiz özensiz üst üste ve amatörce Evet ""reno'da uyanmak""",1
Ortada bir yerlerde film birkaç film anı toplar toplayan demme deneyleri olarak zorlar ama kabataslak alanı egemendir,1
aksiyon klişeleri yığılır,1
Payami İran'ın seçim süreci ile ilgili bazı ciddi sorunları gündeme getirmeye çalışır ancak sonuç bir parti siyasi yayını kadar ince olan bir filmdir,1
tek sürpriz şudur: ağır sikletler joel gümüş ve robert zemeckis bunu üretmeyi kabul etti; Yönetmenin kadın iç çamaşırlarında yakalamalarını gösteren resimleri var,1
acımasız bir orta 70'lerin amerikalı spor filminin bir başka işe yaramaz geri dönüşümü,1
gülmedim ben gülmedim hayatta kaldım,1
lütfen başka bir film yapmadan önce eric schaeffer'ı durdurun,1
Filmle ilgili problemlerin çoğu senaryodan değil çoğu aktörün vasat performanslarından kaynaklanıyor,1
   Sadece eğlenmek için bir ruh halindeyseniz - ama kötü - film ucubeleri bir matine olarak yakalamak isteyebilirsiniz,1
kıvrılma eşsiz bir spor olabilir ancak süpürgelerdeki erkekler belirgin şekilde sıradandır,1
operanın kendisi çoğunlukla iç mekânda gerçekleşse de Jacquot sette herhangi bir doğallığı nasıl uyandırdığı konusunda emin değildir,1
Bu tekrar gözden geçirilen intiharların intikamı olduğu gerçeğine kapılmak yok,1
çaba samimiyetli ve sonuçlar dürüst ancak film o kadar kasvetli ki pek de zor değil,1
Bir önceki filmin başarılarının çoğunu yeniden alevlendirdi ve attı ve birkaç yeni dalga attı,1
anlatımın sürekliliğinin yokluğu için kapak olarak düzenleme yapan Flashbulb tartışmasız bir şekilde kapanış noktasına ulaşmak için bir bahane olmak üzere neredeyse tutarsızdır   kimin kazanacağına bakmak kiminle mümkün değildir,1
baştan sona kokuyor kasvetli bir çuval çuvalı gibi,1
uygar akıl balistik gibi bir film: ecks vs Ciddi bir eğlenceden daha çok bir çile,1
equlibrium 1984 ve farenheit 451'in totaliter temaları hakkında on üç yaşındaki bir kitap raporu için geçebilir,1
Doğallığın yokluğu her şeyin öz-bilinçli şiirsel ve zorlanmış görünmesini sağlar   [nelson] başarısının hırsıyla uyuşmaması üzücü,1
